key;value
EntleBucher; The Entlebucher Sennenhund or Entlebucher Mountain Dog is a medium-sized herding dog, it is the smallest of the four Sennenhunds, a dog type that includes four regional breeds.
Egyptian cat; Egyptian Maus are a small- to medium-sized short-haired cat breed. Along with the Bahraini Dilmun cat, they are one of the few naturally spotted breeds of domesticated cat. The spots of the Mau occur on only the tips of the hairs of its coat.
passenger car; A passenger car is a piece of railway rolling stock that is designed to carry passengers. The term passenger car can also be associated with a sleeping car, baggage, dining, railway post office and prisoner transport cars.
kit fox; The kit fox is a fox species of North America. Its range is primarily in the Southwestern United States and northern and central Mexico.
English setter; The English Setter is a medium-size breed of dog. It is part of the Setter family, which includes the red Irish Setters, Irish Red and White Setters, and black-and-tan Gordon Setters.
Siberian husky; The Siberian Husky is a medium size working dog breed that originated in north-eastern Siberia, Russia. The breed belongs to the Spitz genetic family.
Australian terrier; The Australian Terrier is a small breed of dog of the terrier dog type. The breed was developed in Australia, although the ancestral types of dogs from which the breed descends were from Great Britain.
English springer; The English Springer Spaniel is a breed of gun dog in the Spaniel family traditionally used for flushing and retrieving game. It is an affectionate, excitable breed with a typical lifespan of twelve to fourteen years.
grey whale; The gray whale, also known as the grey whale, gray back whale, Pacific gray whale, or California gray whale is a baleen whale that migrates between feeding and breeding grounds yearly.
lesser panda; The red panda, also called the lesser panda, the red bear-cat, and the red cat-bear, is a mammal native to the eastern Himalayas and southwestern China.
ibex; The Alpine ibex, also known as the steinbock or bouquetin, is a species of wild goat that lives in the mountains of the European Alps. It is a sexually dimorphic species with larger males who carry larger, curved horns.
Persian cat; The Persian cat is a long-haired breed of cat characterized by its round face and short muzzle. It is also known as the Persian Longhair in the English-speaking countries.
cougar; The cougar, also commonly known as the mountain lion, puma, panther, or catamount, is a large felid of the subfamily Felinae native to the Americas.
gazelle; A gazelle is any of many antelope species in the genus Gazella or formerly considered to belong to it. Six species are included in two genera, Eudorcas and Nanger, which were formerly considered subgenera.
porcupine; Porcupines are rodentian mammals with a coat of sharp spines, or quills, that protect against predators. The term covers two families of animals, the Old World porcupines of family Hystricidae, and the New World porcupines of family Erethizontidae.
sea lion; Sea lions are sea mammals characterized by external ear flaps, long foreflippers, the ability to walk on all fours, and short, thick hair, big chest and belly.
malamute; The Alaskan Malamute is a large breed of domestic dog originally bred for hauling heavy freight due to their strength and endurance, and later a sled dog.
badger; Badgers are short-legged omnivores in the family Mustelidae, which also includes the otters, polecats, weasels, and wolverines. They belong to the caniform suborder of carnivoran mammals.
Great Dane; The Great Dane is a large German breed of domestic dog known for its giant size. The German name of the breed is Deutsche Dogge, or German Mastiff. The French name is Dogue Allemand. The Great Dane is one of the tallest dog breeds.
Walker hound; The Treeing Walker Coonhound is a breed of hound descended from the English and American Foxhounds. The breed originated in the United States when a dog known as "Tennessee Lead", was crossed into the Walker Hound in the 19th century.
Welsh springer spaniel; The Welsh Springer Spaniel is a breed of dog and a member of the spaniel family. Thought to be comparable to the old Land Spaniel, they are similar to the English Springer Spaniel
whippet; The Whippet is a dog breed of medium-size. They are a sighthound breed that originated in England, where they descended from greyhounds.
Scottish deerhound; The Scottish Deerhound, or simply the Deerhound, is a large breed of hound, once bred to hunt the Red Deer by coursing.
killer whale; The killer whale or orca is a toothed whale belonging to the oceanic dolphin family, of which it is the largest member. Killer whales have a diverse diet, although individual populations often specialize in particular types of prey.
mink; Mink are dark-colored, semiaquatic, carnivorous mammals of the genera Neovison and Mustela, and part of the family Mustelidae which also includes weasels, otters and ferrets.
African elephant; African elephants are elephants of the genus Loxodonta. The genus consists of two extant species: the African bush elephant, L. africana, and the smaller African forest elephant, L. cyclotis.

